date,reported_cases_uncorrected,running_total_uncorrected,reported_cases_corrected,running_total_corrected,reported_cases_difference,running_total_difference
08/01/2020,"1,730","123,878","1,730","123,878",0,0
08/02/2020,"1,341","125,219","1,341","125,219",0,0
08/03/2020,"1,313","126,532","1,313","126,532",0,0
08/04/2020,"1,629","128,161","1,629","128,161",0,0
08/05/2020,"1,127","129,288","1,127","129,288",0,0
08/06/2020,"1,979","131,267","1,979","131,267",0,0
08/07/2020,"1,545","132,812","1,547","132,814",2,2
08/08/2020,"1,954","134,766","1,973","134,787",19,21
08/09/2020,"1,452","136,218","1,620","136,407",168,189
08/10/2020,626,"136,844",441,"136,848",-185,4
08/11/2020,"1,051","137,895","1,051","137,899",0,4
08/12/2020,"1,166","139,061","1,214","139,113",48,52
08/13/2020,"1,763","140,824","1,903","141,016",140,192
08/14/2020,"1,346","142,170","1,160","142,176",-186,6
08/15/2020,"1,536","143,706","1,632","143,808",96,102
08/16/2020,"1,246","144,952","1,373","145,181",127,229
08/17/2020,564,"145,516",342,"145,523",-222,7
08/18/2020,"1,263","146,779","1,259","146,782",-4,3
08/19/2020,"1,153","147,932","1,160","147,942",7,10
08/20/2020,"1,972","149,904","1,975","149,917",3,13
08/21/2020,"2,008","151,912","1,998","151,915",-10,3
08/22/2020,"1,729","153,641","1,735","153,650",6,9
08/23/2020,"1,472","155,113","1,475","155,125",3,12
08/24/2020,"1,283","156,396","1,278","156,403",-5,7
08/25/2020,"1,345","157,741","1,339","157,742",-6,1
08/26/2020,"1,244","158,985","1,248","158,990",4,5
08/27/2020,"2,091","161,076","2,096","161,086",5,10
08/28/2020,"1,415","162,491","1,410","162,496",-5,5
08/29/2020,"2,585","165,076","1,694","164,190",-891,-886
08/30/2020,"1,051","166,127","1,937","166,127",886,0
08/31/2020,"1,186","167,313","1,186","167,313",0,0
09/01/2020,"2,111","169,424","2,111","169,424",0,0
09/02/2020,"1,129","170,553","1,129","170,553",0,0
09/03/2020,"1,656","172,209","1,656","172,209",0,0
09/04/2020,"2,045","174,254","2,045","174,254",0,0
09/05/2020,"1,561","175,815","1,561","175,815",0,0
