date,cumulative_cases_realtime,cumulative_cases_daily,cumulative_cases_difference,cumulative_deaths_realtime,cumulative_deaths_daily,cumulative_differences_deaths
3/3/2020,1,#N/A,#N/A,#N/A,#N/A,#N/A
3/4/2020,1,#N/A,#N/A,#N/A,#N/A,#N/A
3/5/2020,1,#N/A,#N/A,#N/A,#N/A,#N/A
3/6/2020,2,#N/A,#N/A,#N/A,#N/A,#N/A
3/7/2020,2,#N/A,#N/A,#N/A,#N/A,#N/A
3/8/2020,2,#N/A,#N/A,#N/A,#N/A,#N/A
3/9/2020,8,#N/A,#N/A,#N/A,#N/A,#N/A
3/10/2020,8,#N/A,#N/A,#N/A,#N/A,#N/A
3/11/2020,10,#N/A,#N/A,#N/A,#N/A,#N/A
3/12/2020,17,#N/A,#N/A,#N/A,#N/A,#N/A
3/13/2020,20,15,-5,#N/A,0,#N/A
3/14/2020,27,23,-4,#N/A,0,#N/A
3/15/2020,34,33,-1,#N/A,0,#N/A
3/16/2020,38,33,-5,#N/A,0,#N/A
3/17/2020,65,40,-25,#N/A,0,#N/A
3/18/2020,93,63,-30,#N/A,0,#N/A
3/19/2020,136,97,-39,#N/A,0,#N/A
3/20/2020,185,137,-48,#N/A,0,#N/A
3/21/2020,261,184,-77,#N/A,0,#N/A
3/22/2020,306,255,-51,#N/A,0,#N/A
3/23/2020,387,297,-90,#N/A,0,#N/A
3/24/2020,493,398,-95,#N/A,0,#N/A
3/25/2020,593,504,-89,2,0,-2
3/26/2020,694,636,-58,3,2,-1
3/27/2020,865,763,-102,4,3,-1
3/28/2020,1015,935,-80,4,4,0
3/29/2020,1179,1040,-139,8,5,-3
3/30/2020,1344,1307,-37,8,6,-2
3/31/2020,1529,1498,-31,12,8,-4
4/1/2020,1679,1584,-95,17,10,-7
4/2/2020,2007,1857,-150,20,16,-4
4/3/2020,2264,2093,-171,29,19,-10
4/4/2020,2484,2402,-82,33,24,-9
4/5/2020,2635,2585,-50,37,31,-6
4/6/2020,2947,2870,-77,44,33,-11
4/7/2020,3278,3221,-57,53,46,-7
4/8/2020,3514,3426,-88,63,53,-10
4/9/2020,3718,3651,-67,72,65,-7
4/10/2020,4039,3908,-131,83,74,-9
4/11/2020,4355,4312,-43,89,80,-9
4/12/2020,4577,4520,-57,92,81,-11
4/13/2020,4898,4816,-82,104,86,-18
4/14/2020,5101,5024,-77,121,108,-13
4/15/2020,5282,5123,-159,139,117,-22
4/16/2020,5592,5465,-127,156,131,-25
4/17/2020,6160,5859,-301,180,152,-28
4/18/2020,6379,6140,-239,189,164,-25
4/19/2020,6621,6493,-128,196,172,-24
4/20/2020,6939,6764,-175,211,179,-32
4/21/2020,7179,6951,-228,242,213,-29
4/22/2020,7574,7220,-354,267,242,-25
4/23/2020,7921,7608,-313,281,253,-28
4/24/2020,8291,8052,-239,296,269,-27
4/25/2020,8648,8542,-106,308,289,-19
4/26/2020,8905,8830,-75,318,299,-19
4/27/2020,9506,9142,-364,346,306,-40
4/28/2020,9838,9568,-270,368,342,-26
4/29/2020,10330,9948,-382,379,354,-25
4/30/2020,10845,10509,-336,407,378,-29
5/1/2020,11282,10923,-359,422,399,-23
5/2/2020,11667,11509,-158,437,420,-17
5/3/2020,11846,11664,-182,443,422,-21
5/4/2020,12222,11848,-374,466,430,-36
5/5/2020,12615,12256,-359,484,452,-32
5/6/2020,13151,12758,-393,505,477,-28
5/7/2020,13685,13397,-288,535,507,-28
5/8/2020,14122,13868,-254,550,527,-23
5/9/2020,14479,14360,-119,561,544,-17
5/10/2020,14885,14764,-121,566,547,-19
5/11/2020,15269,15045,-224,576,550,-26
5/12/2020,15717,15346,-371,607,577,-30
5/13/2020,16318,15816,-502,626,597,-29
5/14/2020,16813,16507,-306,641,615,-26
5/15/2020,17222,17129,-93,661,641,-20
