date,dhhs_reported_cases,new_cumulative_cases,wral_reported_cases,old_cumulative_cases,new_reported_difference,cumulative_difference
9/24/20,1836,202638,1688,198189,148,4449
9/23/20,1101,200802,952,196501,149,4301
9/22/20,1312,199701,1168,195549,144,4152
9/21/20,800,198389,800,194381,0,4008
9/20/20,1335,197589,1333,193581,2,4008
9/19/20,1239,196254,1229,192248,10,4006
9/18/20,1504,195015,1443,191019,61,3996
9/17/20,1632,193511,1552,189576,80,3935
9/16/20,1234,191879,1137,188024,97,3855
9/15/20,1210,190645,1106,186887,104,3758
9/14/20,948,189435,845,185781,103,3654
9/13/20,1220,188487,1196,184936,24,3551
9/12/20,1478,187267,1454,183740,24,3527
9/11/20,1610,185789,1532,182286,78,3503
9/10/20,1307,184179,1222,180754,85,3425
9/9/20,969,182872,897,179532,72,3340
9/8/20,833,181903,716,178635,117,3268
9/7/20,1039,181070,1018,177919,21,3151
9/6/20,1099,180031,1086,176901,13,3130
9/5/20,1586,178932,1561,175815,25,3117
9/4/20,2121,177346,2045,174254,76,3092
9/3/20,1716,175225,1656,172209,60,3016
9/2/20,1216,173509,1129,170553,87,2956
9/1/20,2209,172293,2111,169424,98,2869
8/31/20,1287,170084,1186,167313,101,2771
8/30/20,1952,168797,1937,166127,15,2670
8/29/20,1723,166845,1694,164190,29,2655
8/28/20,1479,165122,1410,162496,69,2626
8/27/20,2177,163643,2096,161086,81,2557
8/26/20,1342,161466,1248,158990,94,2476
8/25/20,1446,160124,1339,157742,107,2382
8/24/20,1389,158678,1278,156403,111,2275
8/23/20,1490,157289,1475,155125,15,2164
8/22/20,1781,155799,1735,153650,46,2149
8/21/20,2075,154018,1998,151915,77,2103
8/20/20,2050,151943,1975,149917,75,2026
8/19/20,1218,149893,1160,147942,58,1951
8/18/20,1336,148675,1259,146782,77,1893
8/17/20,431,147339,342,145523,89,1816
8/16/20,1400,146908,1373,145181,27,1727
8/15/20,1662,145508,1632,143808,30,1700
8/14/20,1210,143846,1160,142176,50,1670
8/13/20,1978,142636,1903,141016,75,1620
8/12/20,1308,140658,1214,139113,94,1545
8/11/20,1131,139350,1051,137899,80,1451
8/10/20,512,138219,441,136848,71,1371
8/9/20,1626,137707,1620,136407,6,1300
8/8/20,1987,136081,1973,134787,14,1294
8/7/20,1582,134094,1547,132814,35,1280
8/6/20,2049,132512,1979,131267,70,1245
8/5/20,1185,130463,1127,129288,58,1175
8/4/20,1694,129278,1629,128161,65,1117
8/3/20,1388,127584,1313,126532,75,1052
8/2/20,1362,126196,1341,125219,21,977
8/1/20,1753,124834,1730,123878,23,956
7/31/20,2018,123081,1954,122148,64,933
7/30/20,2411,121063,2344,120194,67,869
7/29/20,1826,118652,1763,117850,63,802
7/28/20,1805,116826,1749,116087,56,739
7/27/20,1685,115021,1625,114338,60,683
7/26/20,1645,113336,1621,112713,24,623
7/25/20,2114,111691,2097,111092,17,599
7/24/20,2145,109577,2102,108995,43,582
7/23/20,1945,107432,1892,106893,53,539
7/22/20,2191,105487,2140,105001,51,486
7/21/20,1863,103296,1815,102861,48,435
7/20/20,1291,101433,1268,101046,23,387
7/19/20,1820,100142,1820,99778,0,364
7/18/20,2486,98322,2481,97958,5,364
7/17/20,2082,95836,2051,95477,31,359
7/16/20,2191,93754,2160,93426,31,328
7/15/20,1816,91563,1782,91266,34,297
7/14/20,1991,89747,1956,89484,35,263
7/13/20,1846,87756,1827,87528,19,228
7/12/20,1909,85910,1908,85701,1,209
7/11/20,2467,84001,2462,83793,5,208
7/10/20,2007,81534,1982,81331,25,203
7/9/20,2059,79527,2039,79349,20,178
7/8/20,1449,77468,1435,77310,14,158
7/7/20,1367,76019,1346,75875,21,144
7/6/20,1563,74652,1546,74529,17,123
7/5/20,1330,73089,1329,72983,1,106
7/4/20,1419,71759,1413,71654,6,105
7/3/20,2102,70340,2099,70241,3,99
7/2/20,1639,68238,1629,68142,10,96
7/1/20,1862,66599,1843,66513,19,86
6/30/20,1196,64737,1186,64670,10,67
6/29/20,1349,63541,1342,63484,7,57
6/28/20,1605,62192,1605,62142,0,50
6/27/20,1720,60587,1719,60537,1,50
6/26/20,1649,58867,1635,58818,14,49
6/25/20,1024,57218,1009,57183,15,35
6/24/20,1724,56194,1721,56174,3,20
6/23/20,854,54470,848,54453,6,17
6/22/20,805,53616,804,53605,1,11
6/21/20,1412,52811,1412,52801,0,10
6/20/20,1549,51399,1549,51389,0,10
6/19/20,1655,49850,1652,49840,3,10
6/18/20,1335,48195,1333,48188,2,7
6/17/20,1002,46860,1002,46855,0,5
6/16/20,751,45858,751,45853,0,5
6/15/20,983,45107,983,45102,0,5
6/14/20,1444,44124,1443,44119,1,5
6/13/20,1429,42680,1427,42676,2,4
6/12/20,1768,41251,1768,41249,0,2
6/11/20,1310,39483,1310,39481,0,2
6/10/20,1011,38173,1011,38171,0,2
6/9/20,676,37162,676,37160,0,2
6/8/20,938,36486,938,36484,0,2
6/7/20,921,35548,921,35546,0,2
6/6/20,1370,34627,1370,34625,0,2
6/5/20,1289,33257,1289,33255,0,2
6/4/20,1190,31968,1189,31966,1,2
6/3/20,888,30778,888,30777,0,1
6/2/20,626,29890,626,29889,0,1
6/1/20,674,29264,674,29263,0,1
5/31/20,916,28590,916,28589,0,1
5/30/20,1185,27674,1185,27673,0,1
5/29/20,1076,26489,1076,26488,0,1
5/28/20,784,25413,784,25412,0,1
5/27/20,488,24629,488,24628,0,1
5/26/20,176,24141,176,24140,0,1
5/25/20,742,23965,742,23964,0,1
5/24/20,497,23223,497,23222,0,1
5/23/20,1107,22726,1107,22725,0,1
5/22/20,758,21619,758,21618,0,1
5/21/20,738,20861,738,20860,0,1
5/20/20,423,20123,422,20122,1,1
