date,dhhs_reported_cases,wral_reported_cases,dhhs_reported_tests,wral_reported_tests,uncorrected_positivity,corrected_positivity,difference
9/24/20,1836,1688,37657,27764,5.52,5.06,-0.46
9/23/20,1101,952,27683,17498,5.33,4.95,-0.38
9/22/20,1312,1168,12535,7390,5.02,5,-0.02
9/21/20,800,800,16001,12721,4.71,4.86,0.15
9/20/20,1335,1333,24679,33798,4.58,4.88,0.3
9/19/20,1239,1229,27403,22000,4.48,4.78,0.3
9/18/20,1504,1443,34441,34845,4.59,4.75,0.17
9/17/20,1632,1552,37607,30791,4.59,4.71,0.12
9/16/20,1234,1137,28506,30944,4.39,4.63,0.23
9/15/20,1210,1106,15629,17621,4.51,4.81,0.31
9/14/20,948,845,18342,18711,4.49,4.74,0.25
9/13/20,1220,1196,26203,34976,4.64,4.87,0.23
9/12/20,1478,1454,33367,22478,4.65,4.83,0.18
9/11/20,1610,1532,38681,36815,4.74,5.03,0.29
9/10/20,1307,1222,33872,31726,4.91,5.53,0.62
9/9/20,969,897,15536,20836,5.14,5.68,0.54
9/8/20,833,716,10621,9695,5.31,5.39,0.08
9/7/20,1039,1018,15250,16632,5.21,6.01,0.8
9/6/20,1099,1086,25209,32079,5.4,6.04,0.64
9/5/20,1586,1561,28779,21775,6.03,6.5,0.47
9/4/20,2121,2045,32622,41259,5.7,6.5,0.8
9/3/20,1716,1656,36879,32527,5.7,6.08,0.38
9/2/20,1216,1129,28887,19612,5.95,6.37,0.41
9/1/20,2209,2111,15065,39526,6.04,6.36,0.31
8/31/20,1287,1186,18622,12899,6.48,5.96,-0.51
8/30/20,1952,1937,25044,25124,6.68,6.19,-0.49
8/29/20,1723,1694,30979,35258,6.54,5.97,-0.56
8/28/20,1479,1410,34871,30166,7.17,6.21,-0.96
8/27/20,2177,2096,35721,31724,7.84,6.89,-0.95
8/26/20,1342,1248,31132,18642,7.95,7.23,-0.72
8/25/20,1446,1339,14920,14664,7.33,7.4,0.07
8/24/20,1389,1278,13120,9003,7.38,7.53,0.14
8/23/20,1490,1475,24169,21773,6.59,6.86,0.27
8/22/20,1781,1735,24904,21652,6.48,6.85,0.37
8/21/20,2075,1998,25761,25004,6.26,6.74,0.48
8/20/20,2050,1975,26022,28190,5.86,6.29,0.43
8/19/20,1218,1160,25739,29200,5.68,6.07,0.39
8/18/20,1336,1259,10893,12509,5.72,6.09,0.37
8/17/20,431,342,13862,12595,5.62,5.78,0.15
8/16/20,1400,1373,23021,22794,5.58,5.71,0.13
8/15/20,1662,1632,25652,25384,5.87,5.99,0.12
8/14/20,1210,1160,22856,21290,6.27,6.39,0.12
8/13/20,1978,1903,30068,31746,6.51,6.67,0.17
8/12/20,1308,1214,26715,29021,6.94,7.03,0.09
8/11/20,1131,1051,15704,11411,7.37,7.3,-0.07
8/10/20,512,441,17137,15620,7.8,7.95,0.15
8/9/20,1626,1620,19182,19182,8.2,8.44,0.24
8/8/20,1987,1973,21031,21031,7.75,7.99,0.24
8/7/20,1582,1547,21840,21840,7.47,7.71,0.24
8/6/20,2049,1979,23469,23469,7.64,7.9,0.26
8/5/20,1185,1127,19558,19558,7.79,8.04,0.25
8/4/20,1694,1629,11613,11613,7.92,8.17,0.25
8/3/20,1388,1313,19740,19740,7.56,7.79,0.23
8/2/20,1362,1341,23480,23480,7.8,8.02,0.22
8/1/20,1753,1730,23091,23091,7.87,8.09,0.22
7/31/20,2018,1954,23947,23947,8.06,8.27,0.22
7/30/20,2411,2344,25438,25438,8.24,8.44,0.2
7/29/20,1826,1763,25175,25175,7.9,8.1,0.19
7/28/20,1805,1749,20426,20426,8.11,8.3,0.19
7/27/20,1685,1625,18738,18738,8.17,8.35,0.18
7/26/20,1645,1621,25642,25642,7.84,8,0.16
7/25/20,2114,2097,23879,23879,8.02,8.16,0.14
7/24/20,2145,2102,22113,22113,8.16,8.29,0.13
7/23/20,1945,1892,26648,26648,7.84,7.96,0.12
7/22/20,2191,2140,25652,25652,8.2,8.31,0.11
7/21/20,1863,1815,19982,19982,8.11,8.21,0.1
7/20/20,1291,1268,21111,21111,8.04,8.13,0.09
7/19/20,1820,1820,24440,24440,8.48,8.58,0.09
7/18/20,2486,2481,25799,25799,8.41,8.5,0.09
7/17/20,2082,2051,28220,28220,8.46,8.55,0.09
7/16/20,2191,2160,22271,22271,8.73,8.82,0.09
