Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
3852.872401,98,,34,27340,Population <500 and Cases <5,694758.9878,Saxapahaw,
7774.187603,125,,13,27498,Population <500 and Cases <5,3369264.123,Greensboro,
63490.72228,166,,298,27556,Population <500 and Cases <5,67850312.09,Middleburg,
15555.15103,188,,0,27599,Population <500 and Cases <5,4275416.302,Chapel Hill,
6816.757694,208,,10,27706,Population <500 and Cases <5,1281872.183,Durham,
9509.211272,212,,0,27710,Population <500 and Cases <5,3645590.84,Durham,
25227.77949,213,,62,27711,Population <500 and Cases <5,11690491.02,Durham,
102716.6178,232,,343,27821,Population <500 and Cases <5,180879118.3,Edward,
12365.13472,237,,99,27827,Population <500 and Cases <5,6818760.55,Falkland,
12505.20574,247,,84,27841,Population <500 and Cases <5,5972995.942,Hassell,
60062.91647,272,,429,27872,Population <500 and Cases <5,78668396.39,Roxobel,
35379.38923,277,,323,27881,Population <500 and Cases <5,45624486.27,Speed,
162150.4066,315,,491,27943,Population <500 and Cases <5,82146889.19,Hatteras,
62675.90087,324,,328,27956,Population <500 and Cases <5,91616147.33,Maple,
77591.87537,335,,196,27972,Population <500 and Cases <5,25839959.52,Salvo,
488663.1602,339,,221,27978,Population <500 and Cases <5,3250437067,Stumpy Point,
19058.32648,384,,465,28101,Population <500 and Cases <5,12210373.5,Mc Adenville,
11657.15818,478,,70,28350,Population <500 and Cases <5,7876659.259,Lakeview,
21293.11416,494,,155,28375,Population <500 and Cases <5,16154829.58,Proctorville,
11964.29904,577,,328,28519,Population <500 and Cases <5,3782179.4,Bridgeton,
427477.053,578,,352,28520,Population <500 and Cases <5,633116579.8,Cedar Island,
860357.3587,581,,443,28524,Population <500 and Cases <5,547256692.8,Davis,
192645.3672,590,,0,28533,Population <500 and Cases <5,253735788.2,Cherry Point,
352204.8517,591,,186,28537,Population <500 and Cases <5,891999129.3,Hobucken,
104037.9675,602,,131,28552,Population <500 and Cases <5,211084218.6,Lowland,
2618.499629,608,,0,28561,Population <500 and Cases <5,195198.7094,New Bern,
703346.4624,619,,224,28581,Population <500 and Cases <5,2404669973,Stacy,
3607.209898,621,,0,28583,Population <500 and Cases <5,596710.7407,Stonewall,
182903.1975,625,,324,28587,Population <500 and Cases <5,250612018.4,Vandemere,
19773.94076,649,,63,28629,Population <500 and Cases <5,18113919.85,Glendale Springs,
156576.1757,662,,463,28646,Population <500 and Cases <5,440709602.8,Linville,
6065.661471,674,,105,28667,Population <500 and Cases <5,1309548.809,Rhodhiss,
47932.72565,678,,35,28672,Population <500 and Cases <5,62555584.73,Scottville,
47768.48338,712,,35,28720,Population <500 and Cases <5,47877696.54,Chimney Rock,
7541.635114,716,,36,28725,Population <500 and Cases <5,1395548.499,Dillsboro,
200917.741,722,,200,28733,Population <500 and Cases <5,498075903.9,Fontana Dam,
92735.38346,724,,294,28735,Population <500 and Cases <5,137680777.6,Gerton,
8852.524753,735,,0,28749,Population <500 and Cases <5,1713987.451,Little Switzerland,
2617.879132,741,,0,28757,Population <500 and Cases <5,129672.1146,Montreat,
130336.9418,752,,493,28775,Population <500 and Cases <5,456631744.1,Scaly Mountain,
3958.824966,777,,0,27969,Population <500 and Cases <5,724387.011,Roduco,
3050.227371,778,,0,28253,Population <500 and Cases <5,133339.2958,Charlotte,
3583.904193,779,,0,28608,Population <500 and Cases <5,274774.7089,Boone,
22299.11789,7,0,957,27014,,21479098.03,Cooleemee,0
211061.4133,8,0,1682,27016,,1068209590,Danbury,0
200803.001,14,0,1512,27022,,918745327.3,Lawsonville,0
172371.3631,18,0,4017,27027,,548179131.6,Mayodan,0
217125.5737,26,0,1953,27046,,1237681699,Sandy Ridge,0
209108.7694,53,0,2048,27231,,987771348.6,Cedar Grove,0
