RatePer10K,Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
55.1371705217859,355282.663136038,"1","3","14872","27006",,1744189234.37061,Advance,"82"
102.996254681648,195922.003442792,"2","0","2136","27007",,592499585.594238,Ararat,"22"
30.6435137895812,191244.647442635,"3","0","2937","27009",,618093097.011353,Belews Creek,"9"
109.037146553317,316910.589814884,"4","0","5411","27011",,1489580093.86462,Boonville,"59"
91.5244871174967,255774.303165276,"5","0","28954","27012",,1176567385.86804,Clemmons,"265"
107.775211701309,379169.285246239,"6","2","6495","27013",,2066336247.98627,Cleveland,"70"
73.1452455590387,22299.1178929161,"7","0","957","27014",,21479098.032959,Cooleemee,"7"
107.015457788347,211061.413302457,"8","0","1682","27016",,1068209590.0686,Danbury,"18"
193.704600484262,566348.974052304,"9","0","9499","27017",,2962951682.04883,Dobson,"184"
115.557718039168,255811.974556888,"10","2","8221","27018",,2331567909.96985,East Bend,"95"
66.1313179026925,270248.259734795,"11","0","4234","27019",,977414017.819214,Germanton,"28"
157.273918741809,316969.486887135,"12","2","6104","27020",,2114111622.36755,Hamptonville,"96"
65.0759219088937,210392.900707099,"13","1","17979","27021",,1469376476.14172,King,"117"
39.6825396825397,200803.000966771,"14","0","1512","27022",,918745327.278442,Lawsonville,"6"
92.3679060665362,183078.980128527,"15","1","12775","27023",,807172159.002075,Lewisville,"118"
67.0890793887439,278411.484773322,"16","0","2683","27024",,1265827411.39758,Lowgap,"18"
42.2775928757758,468723.596670606,"17","0","11117","27025",,2714649364.33142,Madison,"47"
39.8307194423699,172371.363079245,"18","0","4017","27027",,548179131.574585,Mayodan,"16"
121.259674025465,567238.136149725,"19","2","28039","27028",,5475621774.30664,Mocksville,"340"
125.926516298717,624989.724929863,"20","7","37641","27030",,4824085732.75671,Mount Airy,"474"
66.1596958174905,205025.773716105,"21","1","13150","27040",,763349953.536133,Pfafftown,"87"
88.5286783042394,324677.141569035,"22","0","8020","27041",,1629462738.40637,Pilot Mountain,"71"
111.111111111111,113971.243586081,"23","1","720","27042",,290758639.069458,Pine Hall,"8"
107.109593294008,395674.180712496,"24","1","6442","27043",,1935795027.06067,Pinnacle,"69"
147.135552540958,154538.589918543,"25","2","9583","27045",,666085549.25769,Rural Hall,"141"
25.6016385048643,217125.573744555,"26","0","1953","27046",,1237681699.0647,Sandy Ridge,"5"
62.5488663017983,144984.839113672,"27","0","1279","27047",,576295820.815674,Siloam,"8"
50.5504381037969,325454.766660313,"28","0","8902","27048",,2355000804.03674,Stoneville,"45"
63.6630754162586,219088.1792708,"29","0","4084","27050",,703876500.567505,Tobaccoville,"26"
89.2964884759261,151066.808563308,"30","0","8287","27051",,524680317.775635,Walkertown,"74"
60.6301560481065,403203.611044297,"31","0","10061","27052",,2710320219.82117,Walnut Cove,"61"
44.3599493029151,413464.446930882,"32","0","3156","27053",,2152815477.55933,Westfield,"14"
130.368098159509,201172.963339102,"33","0","2608","27054",,778193820.583862,Woodleaf,"34"
179.739687349356,403366.49229781,"34","2","14521","27055",,3115987965.39453,Yadkinville,"261"
91.6903087866453,162957.922513793,"35","0","24321","27101",,356085731.400146,Winston Salem,"223"
128.912422721854,146399.561156354,"36","11","36071","27103",,527249856.672729,Winston Salem,"465"
119.116495933022,130394.134288752,"37","6","29383","27104",,337669863.683838,Winston Salem,"350"
227.44239287314,208375.813794777,"38","8","40186","27105",,950547784.577881,Winston Salem,"914"
125.734750282222,203893.681115083,"39","6","51378","27106",,787324720.967285,Winston Salem,"646"
195.682026243515,319111.813640457,"40","8","52432","27107",,1859279716.41162,Winston Salem,"1026"
177.875876395741,213438.375685158,"41","5","38510","27127",,820319160.873047,Winston Salem,"685"
,4216.57245655308,"42","0","5","27157",,827769.094482422,Winston Salem,"10"
291.64381056866,188062.356665824,"43","17","21876","27203",,589408161.410522,Asheboro,"638"
159.773075921155,588011.232518038,"44","5","34549","27205",,6255653514.79199,Asheboro,"552"
189.174986862848,473699.237818467,"45","1","3806","27207",,2300194678.82397,Bear Creek,"72"
195.150798344175,215638.108979383,"46","0","1691","27208",,1029479783.1405,Bennett,"33"
428.812334377258,259108.004034657,"47","8","4151","27209",,1198089302.20734,Biscoe,"178"
312.5,277007.39975067,"48","0","1600","27212",,1328181375.12305,Blanch,"50"
89.3845237081808,324969.092830869,"49","1","11747","27214",,1414533235.94788,Browns Summit,"105"
116.279069767442,298200.358945539,"50","4","44892","27215",,1827823774.30115,Burlington,"522"
266.421211423896,513818.51476852,"51","35","39111","27217",,3473433663.33496,Burlington,"1042"
336.322869955157,367384.611313313,"52","1","4014","27229",,2747739848.89313,Candor,"135"
63.4765625,209108.769362036,"53","0","2048","27231",,987771348.581177,Cedar Grove,"13"
41.1296956402523,187154.002103638,"54","0","3647","27233",,703252829.253662,Climax,"15"
65.5737704918033,148521.339190303,"55","0","4575","27235",,380654027.583252,Colfax,"30"
63.3502959808911,429373.198159064,"56","3","9629","27239",,4319759872.9696,Denton,"61"
97.4512743628186,321391.030328654,"57","0","2668","27242",,1480408484.01825,Eagle Springs,"26"
109.324758842444,311755.144165646,"58","1","4665","27243",,1142332751.10315,Efland,"51"
49.8185620271849,399696.340130384,"59","0","16259","27244",,1541989025.453,Elon,"81"
93.071354705274,215710.992817749,"60","1","4835","27248",,942909114.352783,Franklinville,"45"
71.8831898165481,397477.611919868,"61","0","13355","27249",,1679803774.77087,Gibsonville,"96"
53.0035335689046,220926.147155476,"62","1","2264","27252",,1142470673.17163,Goldston,"12"
174.167302313755,521476.969804177,"63","3","31464","27253",,2351372927.78931,Graham,"548"
116.279069767442,312686.877842211,"64","0","7740","27258",,473631125.268677,Haw River,"90"
142.823785803238,133229.878739789,"65","11","25696","27260",,348441568.963501,High Point,"367"
113.471167824261,171087.864383377,"66","5","24764","27262",,368730084.700928,High Point,"281"
100.806451612903,249658.228757679,"67","1","22320","27263",,1121512604.52234,High Point,"225"
87.9331707901995,307481.490778656,"68","21","50038","27265",,1172957282.41284,High Point,"440"
5.89970501474926,8251.66869064816,"69","0","1695","27268",,2495618.64758301,High Point,"1"
83.8821235421802,502574.675043234,"70","0","27181","27278",,2885765742.02771,Hillsborough,"228"
97.0350404312669,479969.724586594,"71","0","3710","27281",,2095606802.2608,Jackson Springs,"36"
73.5072603482557,168803.970950205,"72","2","16597","27282",,404066994.873657,Jamestown,"122"
83.8363514419852,161239.518798817,"73","0","2982","27283",,711286368.914917,Julian,"25"
93.7705734773403,420748.080109325,"74","4","56201","27284",,2233069317.10205,Kernersville,"527"
64.8717405130379,304615.616752016,"75","0","23585","27288",,1951079100.05676,Eden,"153"
26.0078023407022,314720.365319101,"76","0","1538","27291",,1492904663.44434,Leasburg,"4"
118.895453997347,407599.915340798,"77","4","41465","27292",,4270233445.18579,Lexington,"493"
102.064249445026,466742.919509858,"78","12","39191","27295",,3631502180.53174,Lexington,"400"
109.195402298851,431527.987760386,"79","0","10440","27298",,2639148530.03284,Liberty,"114"
100.875523410735,203597.604040365,"80","0","5254","27299",,822543412.257813,Linwood,"53"
77.8520810460126,287107.537324028,"81","2","10019","27301",,900133716.655151,Mc Leansville,"78"
98.7554950157885,644303.59427532,"82","0","32302","27302",,3198656461.27478,Mebane,"319"
157.728706624606,263836.485514183,"83","1","1585","27305",,687167820.539429,Milton,"25"
186.711522287637,426306.558627535,"84","2","5945","27306",,5305900334.83325,Mount Gilead,"111"
50.221910768512,140986.043049622,"85","1","8562","27310",,526240082.103149,Oak Ridge,"43"
37.2670807453416,293760.993606137,"86","0","3220","27311",,1338371966.32642,Pelham,"12"
78.8110785859041,617961.777569282,"87","19","22205","27312",,5005768374.64233,Pittsboro,"175"
138.583973655324,181619.740165306,"88","16","7288","27313",,760352714.59021,Pleasant Garden,"101"
52.7240773286468,162162.976448062,"89","0","1138","27314",,773578280.842896,Prospect Hill,"6"
28.0373831775701,179457.95829655,"90","0","2140","27315",,697810511.310425,Providence,"6"
248.742314141979,278228.393914438,"91","10","7156","27316",,1975410509.03577,Ramseur,"178"
126.603551621758,339539.515262609,"92","3","17851","27317",,1700826686.43616,Randleman,"226"
