OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
"1","27006","132","3","14872",Advance,,88.7573964497041,1744189234.37061,355282.663136038
"2","27007","33","0","2136",Ararat,,154.494382022472,592499585.594238,195922.003442792
"3","27009","16","0","2937",Belews Creek,,54.4773578481444,618093097.011353,191244.647442635
"4","27011","80","1","5411",Boonville,,147.846978377379,1489580093.86462,316910.589814884
"5","27012","438","12","28954",Clemmons,,151.274435311183,1176567385.86804,255774.303165276
"6","27013","110","3","6495",Cleveland,,169.361046959199,2066336247.98627,379169.285246239
"7","27014","7","0","957",Cooleemee,,73.1452455590387,21479098.032959,22299.1178929161
"8","27016","23","0","1682",Danbury,,136.741973840666,1068209590.0686,211061.413302457
"9","27017","217","1","9499",Dobson,,228.445099484156,2962951682.04883,566348.974052304
"10","27018","120","2","8221",East Bend,,145.967643838949,2331567909.96985,255811.974556888
"11","27019","43","0","4234",Germanton,,101.558809636278,977414017.819214,270248.259734795
"12","27020","143","2","6104",Hamptonville,,234.272608125819,2114111622.36755,316969.486887135
"13","27021","171","1","17979",King,,95.1109627899216,1469376476.14172,210392.900707099
"14","27022","13","0","1512",Lawsonville,,85.978835978836,918745327.278442,200803.000966771
"15","27023","163","1","12775",Lewisville,,127.592954990215,807172159.002075,183078.980128527
"16","27024","26","1","2683",Lowgap,,96.9064480059635,1265827411.39758,278411.484773322
"17","27025","273","2","11117",Madison,,245.56984798057,2714649364.33142,468723.596670606
"18","27027","61","0","4017",Mayodan,,151.854617874035,548179131.574585,172371.363079245
"19","27028","451","3","28039",Mocksville,,160.847391133778,5475621774.30664,567238.136149725
"20","27030","678","12","37641",Mount Airy,,180.122738503228,4824085732.75671,624989.724929863
"21","27040","135","1","13150",Pfafftown,,102.661596958175,763349953.536133,205025.773716105
"22","27041","87","0","8020",Pilot Mountain,,108.478802992519,1629462738.40637,324677.141569035
"23","27042","15","1","720",Pine Hall,,208.333333333333,290758639.069458,113971.243586081
"24","27043","92","1","6442",Pinnacle,,142.812791058677,1935795027.06067,395674.180712496
"25","27045","178","3","9583",Rural Hall,,185.745591150997,666085549.25769,154538.589918543
"26","27046","19","1","1953",Sandy Ridge,,97.2862263184844,1237681699.0647,217125.573744555
